Hectad,Tetrads
NG81,1
NY61,1
SH27,2
C43,2
TL67,1
NY17,3
ST61,1
SE48,3
SS61,1
SE58,7
SX29,1
NG76,2
NY53,1
SX08,1
TR04,1
G80,1
TQ86,1
NN08,1
H40,1
L79,1
H96,1
SH39,1
SO34,1
NZ35,1
B90,1
TL90,1
NN97,2
R69,1
NJ31,2
TG41,2
SJ71,1
SJ54,1
H03,1
SJ82,1
SJ04,1
NN58,3
H01,1
B70,1
SY08,1
NN38,3
J43,1
NM29,1
NM59,1
HU49,1
NO16,1
NC82,2
NY00,1
S85,2
SX86,1
NR47,1
SC16,1
H77,1
NT39,1
NJ03,1
NB91,1
TQ13,1
NC71,1
NA91,1
HP51,1
NN77,1
NN24,1
N75,1
NA10,1
NR58,1
NS75,1
NO45,1
ST70,1
NR59,1
ND39,1
M51,1
W23,1
NM61,1
NO11,1
H04,1
M61,1
H31,1
NT74,1
NO50,1
O21,2
W03,1
R86,1
NN93,1
J46,1
SJ37,1
H71,1
C12,2
H47,1
F60,3
O20,1
TQ02,1
H93,2
F50,1
ND13,1
TL12,1
R23,1
NN84,1
SS41,1
B91,1
SH36,1
L98,1
T12,1
NG29,1
S88,1
X28,1
SS32,1
J01,1
S84,1
NC70,1
NM04,1
SK25,1
NT22,2
SE88,5
NR95,2
J54,1
SD33,1
NH36,1
V86,1
NM35,1
TM35,2
NJ94,1
NZ19,1
V87,1
HZ27,1
NX35,2
SE57,1
HU41,1
SX48,1
NR44,3
NN80,1
NM46,1
J47,2
NJ27,1
NN72,1
NY24,1
TL95,1
NY14,1
TM59,1
HU27,1
TQ32,1
NG75,2
HU44,2
SJ70,1
NH37,1
J03,1
SE77,1
NG78,1
ST71,1
NH49,1
SH28,1
NH83,1
NH09,1
SW62,2
SW61,1
SP40,1
NT77,1
HU15,1
NN81,1
TQ36,1
SE65,2
NM87,2
SH22,1
NX17,1
NZ43,1
NN67,1
SE18,1
NG98,1
NT68,1
