ddb id,taxon name,qualifier,authority,vernacular,canonical
2cd4p9h.awm,Ambrosia psilostachya,,DC.,Perennial Ragweed,Ambrosia psilostachya
2cd4p9h.7fn,Ambrosia trifida,,L.,Giant Ragweed,Ambrosia trifida
2cd4p9h.bkb,Amelanchier lamarckii,,F.G.Schroed.,Juneberry,Amelanchier lamarckii
2cd4p9h.8ac,Ammi majus,,L.,Bullwort,Ammi majus
2cd4p9h.hbk,Ammi visnaga,,(L.) Lam.,Toothpick-plant,Ammi visnaga
2cd4p9h.ybg,Ammophila arenaria,,(L.) Link,Marram,Ammophila arenaria
2cd4p9h.v6y,Ammophila arenaria x Calamagrostis epigejos = X Calammophila baltica,,(Flüggé ex Schrad.) Brand,Purple Marram,X Calammophila baltica
2cd4p9h.6n7,Amsinckia lycopsoides,,Lehm.,Scarce Fiddleneck,Amsinckia lycopsoides
2cd4p9h.61t,Amsinckia micrantha,,Suksd.,Common Fiddleneck,Amsinckia micrantha
2cd4p9h.6qny5s,Anacamptis laxiflora,,"(Lam.) R.M.Bateman, Pridgeon & M.W.Chase",Loose-flowered Orchid,Anacamptis laxiflora
2cd4p9h.84gq5s,Anacamptis laxiflora x morio = A. x alata,,"(Fleury) H.Kretzschmar, Eccarius & H.Dietr.",,Anacamptis x alata
2cd4p9h.6y71f0,Anacamptis morio,,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Green-winged Orchid,Anacamptis morio
2cd4p9h.v6z,Anacamptis pyramidalis,,(L.) Rich.,Pyramidal Orchid,Anacamptis pyramidalis
2cd4p9h.pv8,Anacamptis pyramidalis x Gymnadenia conopsea = X Gymnanacamptis anacamptis,,(F.H.Wilms) Asch. & Graebn.,,X Gymnanacamptis anacamptis
2cd4p9h.bke,Anagallis arvensis,,L.,Scarlet Pimpernel,Anagallis arvensis
2cd4p9h.2fd,Anagallis arvensis subsp. arvensis x subsp. foemina = Anagallis arvensis nothosubsp. doerfleri,,Ronniger,,Anagallis arvensis nothosubsp. doerfleri
2cd4p9h.xa5,Anagallis arvensis subsp. foemina,,(Mill.) Schinz & Thell.,Blue Pimpernel,Anagallis arvensis subsp. foemina
2cd4p9h.8af,Anagallis tenella,,(L.) L.,Bog Pimpernel,Anagallis tenella
2cd4p9h.v75,Anaphalis margaritacea,,(L.) Benth.,Pearly Everlasting,Anaphalis margaritacea
2cd4p9h.8z7,Anchusa arvensis,,(L.) M.Bieb.,Bugloss,Anchusa arvensis
2cd4p9h.76q,Anchusa azurea,,Mill.,Garden Anchusa,Anchusa azurea
2cd4p9h.76t,Anchusa ochroleuca,,M.Bieb.,Yellow Alkanet,Anchusa ochroleuca
2cd4p9h.771,Anchusa ochroleuca x officinalis = A. x baumgartenii,,(Nyman) Gusul.,Alkanet,Anchusa x baumgartenii
2cd4p9h.v78,Anchusa officinalis,,L.,Alkanet,Anchusa officinalis
2cd4p9h.gn,Andromeda polifolia,,L.,Bog-rosemary,Andromeda polifolia
2cd4p9h.41s,Anemanthele lessoniana,,(Steud.) Veldkamp,Pheasant's-tail,Anemanthele lessoniana
2cd4p9h.v7b,Anemone apennina,,L.,Blue Anemone,Anemone apennina
2cd4p9h.hbn,Anemone blanda,,Schott & Kotschy,Balkan Anemone,Anemone blanda
2cd4p9h.774,Anemone hupehensis x vitifolia = A. x hybrida,,Paxton,Japanese Anemone,Anemone x hybrida
2cd4p9h.gt,Anemone nemorosa,,L.,Wood Anemone,Anemone nemorosa
2cd4p9h.4nc,Anemone ranunculoides,,L.,Yellow Anemone,Anemone ranunculoides
2cd4p9h.nkb,Anethum graveolens,,L.,Dill,Anethum graveolens
2cd4p9h.bkn,Angelica archangelica,,L.,Garden Angelica,Angelica archangelica
2cd4p9h.gkdgh0,Angelica archangelica subsp. littoralis,,(Wahlenb.) Thell.,,Angelica archangelica subsp. littoralis
2cd4p9h.wk6,Angelica pachycarpa,,Lange,Portuguese Angelica,Angelica pachycarpa
2cd4p9h.8ax,Angelica sylvestris,,L.,Wild Angelica,Angelica sylvestris
2cd4p9h.4nv,Anisantha diandra,,(Roth) Tutin ex Tzvelev,Great Brome,Anisantha diandra
2cd4p9h.bkq,Anisantha madritensis,,(L.) Nevski,Compact Brome,Anisantha madritensis
2cd4p9h.xak,Anisantha rigida,,(Roth) Hyl.,Ripgut Brome,Anisantha rigida
2cd4p9h.bkt,Anisantha sterilis,,(L.) Nevski,Barren Brome,Anisantha sterilis
2cd4p9h.ybm,Anisantha tectorum,,(L.) Nevski,Drooping Brome,Anisantha tectorum
2cd4p9h.y8s,Anogramma leptophylla,,(L.) Link,Jersey Fern,Anogramma leptophylla
2cd4p9h.xan,Antennaria dioica,,(L.) Gaertn.,Mountain Everlasting,Antennaria dioica
2cd4p9h.ezs,Anthemis arvensis,,L.,Corn Chamomile,Anthemis arvensis
2cd4p9h.n9a,Anthemis austriaca,,Jacq.,Austrian Chamomile,Anthemis austriaca
2cd4p9h.f00,Anthemis cotula,,L.,Stinking Chamomile,Anthemis cotula
2cd4p9h.pv2,Anthemis cotula x Tripleurospermum inodorum = X Tripleurothemis maleolens,,(P.Fourn.) Stace,,X Tripleurothemis maleolens
