gr,freq
TA08,3
TA02,12
TA07,1
TA09,2
TA01,11
TA04,2
TA10,13
TA11,16
TA12,3
TA13,5
TA15,3
TA17,1
TA16,1
TA14,1
TA20,18
TA21,6
TA22,2
TA24,1
TA23,1
TA33,1
TA30,1
TF00,14
TF03,2
TF07,12
TF09,9
TF01,2
TF04,7
TF06,4
TF05,2
TF08,5
TF02,1
TF11,4
TF17,8
TF18,1
TF19,2
TF13,3
TF14,5
TF10,4
TF16,1
TF15,2
TF20,8
TF27,4
TF21,3
TF23,11
TF24,3
TF28,1
TF25,3
TF22,2
TF26,4
TF29,4
TF33,5
TF35,7
TF36,9
TF38,7
TF39,3
TF30,6
TF34,6
TF32,3
TF31,2
TF37,4
TF44,2
TF46,2
TF47,3
TF40,5
TF42,6
TF45,1
TF49,4
TF41,3
TF48,2
TF51,9
TF52,1
TF57,1
TF50,5
TF55,4
TF56,2
TF60,3
TF61,8
TF62,8
TF63,2
TF64,2
TF71,6
TF72,5
TF74,4
TF70,2
TF73,1
TF80,5
TF83,7
TF81,5
TF82,5
TF84,4
TF91,7
TF92,3
TF93,3
TF90,3
TF94,3
TG00,6
TG01,9
TG02,5
TG04,8
TG03,7
TG10,18
TG11,19
TG13,2
TG14,8
TG12,9
TG20,22
TG21,20
TG22,9
TG23,10
TG24,2
TG30,14
TG31,13
TG32,9
TG33,3
TG40,10
TG41,14
TG50,1
TG51,3
TL01,4
TL03,11
TL05,3
TL07,3
TL02,4
TL08,3
TL04,8
TL00,5
TL09,5
TL06,1
TL10,15
TL11,5
TL12,4
TL13,10
TL14,10
TL16,7
TL19,16
TL17,7
TL15,1
TL18,6
TL20,15
TL23,17
TL24,4
TL25,2
TL27,4
TL29,4
TL21,9
TL26,5
TL22,6
TL30,12
TL31,9
TL34,11
TL37,3
TL33,2
TL35,8
TL36,10
TL32,5
TL38,3
TL39,2
TL42,5
TL44,10
TL45,18
TL46,10
TL48,3
TL40,11
TL49,2
TL41,4
TL47,1
TL50,7
TL53,9
TL54,8
TL55,10
TL56,5
TL57,7
TL52,5
TL59,3
TL51,1
TL58,1
TL60,11
TL63,1
TL65,1
TL66,10
TL67,7
TL69,3
TL62,2
TL61,3
TL64,1
TL70,16
TL71,7
TL72,9
TL76,7
TL77,15
TL75,2
TL78,3
TL74,1
TL79,3
TL73,2
TL80,7
TL81,9
TL82,8
TL86,8
TL87,5
TL89,4
TL88,11
TL83,1
TL84,3
TL85,3
TL92,15
TL93,6
TL94,5
TL96,5
TL98,14
TL99,5
TL91,1
TL97,1
TM02,14
TM06,3
TM04,6
TM03,9
TM09,10
TM05,4
TM08,4
TM07,1
TM12,10
TM13,6
TM15,10
TM16,3
TM17,6
TM18,11
TM19,10
TM11,9
TM14,10
TM21,1
TM23,9
TM24,12
TM27,1
TM28,9
TM29,8
TM22,1
TM25,2
TM33,2
TM34,5
TM35,4
TM36,5
TM39,11
TM38,4
TM37,2
TM49,10
TM44,4
TM45,5
TM46,7
TM47,6
TM48,3
TM57,2
TM59,1
TM58,1
TQ00,1
TQ03,2
TQ04,4
TQ05,18
TQ06,18
TQ07,19
TQ08,19
TQ09,15
TQ01,1
TQ15,18
TQ16,21
TQ17,19
TQ18,10
TQ11,1
TQ19,8
TQ13,4
TQ14,9
TQ12,2
TQ10,1
TQ20,4
TQ25,18
TQ26,20
TQ27,13
TQ28,15
TQ29,10
TQ24,9
TQ23,2
TQ31,1
TQ34,6
TQ35,12
TQ36,5
TQ37,6
TQ38,5
TQ33,3
TQ30,2
TQ39,15
TQ32,2
TQ45,9
TQ46,12
TQ47,18
TQ48,12
TQ49,15
TQ40,2
TQ44,1
TQ55,12
TQ56,15
TQ57,18
TQ58,19
TQ59,13
TQ53,2
TQ54,9
TQ50,1
TQ64,12
TQ65,11
TQ66,7
TQ67,11
TQ68,13
TQ69,7
TQ63,4
TQ60,1
TQ70,2
TQ73,5
TQ75,11
TQ76,20
TQ78,2
TQ79,7
TQ74,6
TQ77,7
TQ71,1
TQ72,1
TQ85,11
TQ87,2
TQ88,3
TQ84,1
TQ86,8
TQ83,1
TQ89,1
TQ91,5
TQ93,1
TQ94,9
TQ95,8
TQ96,6
TQ99,1
TQ92,3
TQ97,3
TQ98,1
TR01,7
TR04,8
TR05,6
TR06,6
TR02,13
TR03,4
TR09,1
TR13,9
TR15,13
TR16,16
TR23,7
TR25,4
TR26,10
TR24,8
TR33,1
TR34,8
TR35,8
TR36,10
TR37,1
TV49,1
TV59,2
V29,1
V36,3
V59,1
V55,1
V64,1
V72,1
V74,1
V85,1
V92,1
V94,1
W02,2
W13,1
W23,4
W29,1
W37,3
W33,1
W43,1
W56,1
W66,2
W67,4
W65,1
W74,1
W77,2
W75,1
W76,1
W86,3
W85,1
W96,3
W97,1
X06,2
