"gr","freq"
"H19A",2
"H19C",1
"H19F",1
"H19M",4
"H20B",1
"H20C",2
"H20F",1
"H20G",1
"H20H",1
"H20I",1
"H20K",1
"H20M",2
"H20Q",1
"H20R",1
"H20S",5
"H20T",2
"H20Z",1
"H21A",3
"H21N",2
"H21T",1
"H21Z",3
"H22A",1
"H22D",1
"H22E",3
"H22H",1
"H22I",1
"H22J",8
"H22K",1
"H22L",1
"H22M",1
"H22N",2
"H22P",1
"H22Q",4
"H22R",3
"H22S",1
"H22T",1
"H22U",3
"H22V",2
"H22W",3
"H22X",1
"H22Y",2
"H22Z",1
"H23A",1
"H23B",1
"H23C",2
"H23D",1
"H23E",1
"H23F",2
"H23G",2
"H23H",1
"H23I",1
"H23J",1
"H23K",4
"H23L",2
"H23M",2
"H23N",1
"H23P",3
"H23Q",5
"H23R",4
"H23S",4
"H23T",2
"H23U",1
"H23V",4
"H23W",2
"H23X",6
"H23Y",4
"H23Z",1
"H24B",1
"H24D",2
"H24E",2
"H24F",1
"H24H",2
"H24I",4
"H24J",3
"H24K",3
"H24L",6
"H24P",4
"H24Q",1
"H24R",2
"H24T",2
"H24U",1
"H24V",1
"H24W",1
"H24X",1
"H24Y",1
"H24Z",1
"H25A",9
"H25B",12
"H25C",9
"H25D",3
"H25E",3
"H25F",2
"H25G",7
"H25H",5
"H25I",7
"H25J",6
"H25K",4
"H25L",2
"H25M",9
"H25N",2
"H25R",2
"H25S",1
"H25V",3
"H25W",10
"H26A",2
"H26B",4
"H26C",5
"H26D",2
"H26E",5
"H26G",4
"H26H",3
"H26I",2
"H26J",2
"H26K",4
"H26L",2
"H26M",4
"H26N",2
"H26P",5
"H26Q",1
"H26R",2
"H26S",3
"H26T",2
"H26U",4
"H26X",3
"H26Y",2
"H27A",6
"H27B",1
"H27C",2
"H27F",2
"H27I",1
"H27S",6
"H27W",1
"H27X",1
"H27Y",5
"H28A",2
"H28C",1
"H28F",1
"H28G",1
"H28J",3
"H28K",1
"H28M",1
"H28N",1
"H28V",1
"H28W",1
"H28X",1
"H28Y",1
"H29B",1
"H29D",1
"H29E",1
"H29H",1
"H29J",1
"H29M",2
"H29S",2
"H30H",1
"H30J",1
"H30L",1
"H30M",1
"H30N",11
"H30U",2
"H30Y",2
"H30Z",2
"H31J",2
"H31K",1
"H31P",1
"H31Q",4
"H31R",4
"H31S",1
"H31T",1
"H31U",1
"H31Y",1
"H31Z",1
"H32A",2
"H32B",1
"H32C",1
"H32D",1
"H32E",3
"H32F",2
"H32G",2
"H32H",2
"H32I",2
"H32J",4
"H32K",1
"H32L",9
"H32M",8
"H32N",4
"H32P",3
"H32Q",2
"H32R",7
"H32S",6
"H32T",4
"H32V",4
"H32W",2
"H32X",5
"H33A",4
"H33B",4
"H33D",2
"H33E",1
"H33F",6
"H33G",2
"H33H",1
"H33I",1
"H33J",1
"H33K",2
"H33L",3
"H33M",1
"H33N",1
"H33P",3
"H33Q",3
"H33R",2
"H33S",1
"H33T",1
"H33U",1
"H33V",1
"H33W",1
"H33X",2
"H33Z",2
"H34A",1
"H34B",2
"H34C",3
"H34D",2
"H34E",4
"H34F",4
"H34G",3
"H34H",2
"H34I",3
"H34L",1
"H34M",3
"H34N",1
"H34P",1
"H34Q",4
"H34R",3
"H34T",1
"H34U",3
"H34V",3
"H34W",2
"H34X",3
"H34Y",2
"H35A",4
"H35B",1
"H35D",1
"H35F",3
"H35K",6
"H35Q",4
"H35R",2
"H35T",1
"H35U",1
"H35V",6
"H35W",6
"H35X",2
"H36A",1
"H36D",1
"H36H",1
"H36I",1
"H36L",2
"H36V",1
"H37A",3
"H37C",2
"H37H",2
"H37N",3
"H38A",4
"H38C",1
"H38R",4
"H38S",4
"H38T",1
"H38U",2
"H39I",1
"H39K",1
"H39L",1
"H39P",3
"H39Q",1
"H40E",1
"H40G",1
"H40Q",1
"H40Z",1
"H41J",2
"H41P",1
"H41U",1
"H41Z",1
"H42A",6
